example_id,challenge_category,variant,score,raw
ex_001,ambiguous,standard_with_ref,4,4
ex_002,ambiguous,standard_with_ref,2,2
ex_003,ambiguous,standard_with_ref,4,4
ex_004,ambiguous,standard_with_ref,3,3
ex_005,ambiguous,standard_with_ref,4,4
ex_006,ambiguous,standard_with_ref,4,4
ex_007,ambiguous,standard_with_ref,2,2
ex_008,ambiguous,standard_with_ref,4,4
ex_009,ambiguous,standard_with_ref,2,2
ex_010,ambiguous,standard_with_ref,4,4
ex_011,hallucination_prone,standard_with_ref,2,2
ex_012,hallucination_prone,standard_with_ref,2,2
ex_013,hallucination_prone,standard_with_ref,2,2
ex_014,hallucination_prone,standard_with_ref,2,2
ex_015,hallucination_prone,standard_with_ref,3,3
ex_016,hallucination_prone,standard_with_ref,2,2
ex_017,hallucination_prone,standard_with_ref,5,5
ex_018,hallucination_prone,standard_with_ref,4,4
ex_019,hallucination_prone,standard_with_ref,5,5
ex_020,hallucination_prone,standard_with_ref,5,5
ex_021,noisy_input,standard_with_ref,4,4
ex_022,noisy_input,standard_with_ref,4,4
ex_023,noisy_input,standard_with_ref,2,2
ex_024,noisy_input,standard_with_ref,2,2
ex_025,noisy_input,standard_with_ref,5,5
ex_026,noisy_input,standard_with_ref,1,1
ex_027,noisy_input,standard_with_ref,3,3
ex_028,noisy_input,standard_with_ref,4,4
ex_029,noisy_input,standard_with_ref,4,4
ex_030,noisy_input,standard_with_ref,1,1
ex_031,negation_quantifier,standard_with_ref,5,5
ex_032,negation_quantifier,standard_with_ref,1,1
ex_033,negation_quantifier,standard_with_ref,1,1
ex_034,negation_quantifier,standard_with_ref,5,5
ex_035,negation_quantifier,standard_with_ref,4,4
ex_036,negation_quantifier,standard_with_ref,4,4
ex_037,negation_quantifier,standard_with_ref,4,4
ex_038,negation_quantifier,standard_with_ref,2,2
ex_039,negation_quantifier,standard_with_ref,5,5
ex_040,negation_quantifier,standard_with_ref,2,2
ex_041,long_complex,standard_with_ref,4,4
ex_042,long_complex,standard_with_ref,4,4
ex_043,long_complex,standard_with_ref,3,3
ex_044,long_complex,standard_with_ref,4,4
ex_045,long_complex,standard_with_ref,3,3
ex_046,long_complex,standard_with_ref,4,4
ex_047,long_complex,standard_with_ref,2,2
ex_048,long_complex,standard_with_ref,2,2
ex_049,long_complex,standard_with_ref,3,3
ex_050,long_complex,standard_with_ref,3,3
ex_001,ambiguous,no_reference,4,4
ex_002,ambiguous,no_reference,3,3
ex_003,ambiguous,no_reference,4,4
ex_004,ambiguous,no_reference,3,3
ex_005,ambiguous,no_reference,5,5
ex_006,ambiguous,no_reference,5,5
ex_007,ambiguous,no_reference,3,3
ex_008,ambiguous,no_reference,3,3
ex_009,ambiguous,no_reference,2,2
ex_010,ambiguous,no_reference,5,5
ex_011,hallucination_prone,no_reference,2,2
ex_012,hallucination_prone,no_reference,2,2
ex_013,hallucination_prone,no_reference,2,2
ex_014,hallucination_prone,no_reference,2,2
ex_015,hallucination_prone,no_reference,3,3
ex_016,hallucination_prone,no_reference,2,2
ex_017,hallucination_prone,no_reference,5,5
ex_018,hallucination_prone,no_reference,5,5
ex_019,hallucination_prone,no_reference,5,5
ex_020,hallucination_prone,no_reference,5,5
ex_021,noisy_input,no_reference,4,4
ex_022,noisy_input,no_reference,5,5
ex_023,noisy_input,no_reference,2,2
ex_024,noisy_input,no_reference,2,2
ex_025,noisy_input,no_reference,5,5
ex_026,noisy_input,no_reference,1,1
ex_027,noisy_input,no_reference,2,2
ex_028,noisy_input,no_reference,4,4
ex_029,noisy_input,no_reference,5,5
ex_030,noisy_input,no_reference,1,1
ex_031,negation_quantifier,no_reference,5,5
ex_032,negation_quantifier,no_reference,1,1
ex_033,negation_quantifier,no_reference,1,1
ex_034,negation_quantifier,no_reference,5,5
ex_035,negation_quantifier,no_reference,4,4
ex_036,negation_quantifier,no_reference,5,5
ex_037,negation_quantifier,no_reference,4,4
ex_038,negation_quantifier,no_reference,2,2
ex_039,negation_quantifier,no_reference,5,5
ex_040,negation_quantifier,no_reference,2,2
ex_041,long_complex,no_reference,4,4
ex_042,long_complex,no_reference,3,3
ex_043,long_complex,no_reference,3,3
ex_044,long_complex,no_reference,4,4
ex_045,long_complex,no_reference,3,3
ex_046,long_complex,no_reference,4,4
ex_047,long_complex,no_reference,2,2
ex_048,long_complex,no_reference,2,2
ex_049,long_complex,no_reference,2,2
ex_050,long_complex,no_reference,3,3
ex_001,ambiguous,verbose_expert,3,3
ex_002,ambiguous,verbose_expert,2,2
ex_003,ambiguous,verbose_expert,4,4
ex_004,ambiguous,verbose_expert,3,3
ex_005,ambiguous,verbose_expert,4,4
ex_006,ambiguous,verbose_expert,4,4
ex_007,ambiguous,verbose_expert,2,2
ex_008,ambiguous,verbose_expert,3,3
ex_009,ambiguous,verbose_expert,2,2
ex_010,ambiguous,verbose_expert,4,4
ex_011,hallucination_prone,verbose_expert,2,2
ex_012,hallucination_prone,verbose_expert,2,2
ex_013,hallucination_prone,verbose_expert,2,2
ex_014,hallucination_prone,verbose_expert,2,2
ex_015,hallucination_prone,verbose_expert,3,3
ex_016,hallucination_prone,verbose_expert,2,2
ex_017,hallucination_prone,verbose_expert,4,4
ex_018,hallucination_prone,verbose_expert,4,4
ex_019,hallucination_prone,verbose_expert,4,4
ex_020,hallucination_prone,verbose_expert,4,4
ex_021,noisy_input,verbose_expert,3,3
ex_022,noisy_input,verbose_expert,3,3
ex_023,noisy_input,verbose_expert,2,2
ex_024,noisy_input,verbose_expert,2,2
ex_025,noisy_input,verbose_expert,4,4
ex_026,noisy_input,verbose_expert,1,1
ex_027,noisy_input,verbose_expert,2,2
ex_028,noisy_input,verbose_expert,3,3
ex_029,noisy_input,verbose_expert,4,4
ex_030,noisy_input,verbose_expert,1,1
ex_031,negation_quantifier,verbose_expert,4,4
ex_032,negation_quantifier,verbose_expert,1,1
ex_033,negation_quantifier,verbose_expert,1,1
ex_034,negation_quantifier,verbose_expert,4,4
