example_id,system,challenge_category,rubric_adequacy,rubric_fluency,rubric_terminology,rubric_style,raw,rubric_overall
ex_001,A,ambiguous,5,4,5,4,"{""adequacy"":5,""fluency"":4,""terminology"":5,""style"":4}",4.5
ex_001,B,ambiguous,5,4,4,4,"{""adequacy"":5,""fluency"":4,""terminology"":4,""style"":4}",4.25
ex_002,A,ambiguous,4,3,3,3,"{""adequacy"":4,""fluency"":3,""terminology"":3,""style"":3}",3.25
ex_002,B,ambiguous,4,3,4,3,"{""adequacy"":4,""fluency"":3,""terminology"":4,""style"":3}",3.5
ex_003,A,ambiguous,5,4,5,4,"{""adequacy"":5,""fluency"":4,""terminology"":5,""style"":4}",4.5
ex_003,B,ambiguous,5,4,5,4,"{""adequacy"":5,""fluency"":4,""terminology"":5,""style"":4}",4.5
ex_004,A,ambiguous,4,3,2,3,"{""adequacy"":4,""fluency"":3,""terminology"":2,""style"":3}",3.0
ex_004,B,ambiguous,5,4,4,4,"{""adequacy"":5,""fluency"":4,""terminology"":4,""style"":4}",4.25
ex_005,A,ambiguous,5,5,5,4,"{""adequacy"":5,""fluency"":5,""terminology"":5,""style"":4}",4.75
ex_005,B,ambiguous,5,5,5,5,"{""adequacy"":5,""fluency"":5,""terminology"":5,""style"":5}",5.0
ex_006,A,ambiguous,5,4,5,4,"{""adequacy"":5,""fluency"":4,""terminology"":5,""style"":4}",4.5
ex_006,B,ambiguous,5,4,5,4,"{""adequacy"":5,""fluency"":4,""terminology"":5,""style"":4}",4.5
ex_007,A,ambiguous,4,3,3,3,"{""adequacy"":4,""fluency"":3,""terminology"":3,""style"":3}",3.25
ex_007,B,ambiguous,4,4,3,4,"{""adequacy"":4,""fluency"":4,""terminology"":3,""style"":4}",3.75
ex_008,A,ambiguous,5,4,4,4,"{""adequacy"":5,""fluency"":4,""terminology"":4,""style"":4}",4.25
ex_008,B,ambiguous,5,5,4,5,"{""adequacy"":5,""fluency"":5,""terminology"":4,""style"":5}",4.75
ex_009,A,ambiguous,2,2,3,2,"{""adequacy"":2,""fluency"":2,""terminology"":3,""style"":2}",2.25
ex_009,B,ambiguous,5,4,5,4,"{""adequacy"":5,""fluency"":4,""terminology"":5,""style"":4}",4.5
ex_010,A,ambiguous,5,4,5,4,"{""adequacy"":5,""fluency"":4,""terminology"":5,""style"":4}",4.5
ex_010,B,ambiguous,5,4,5,4,"{""adequacy"":5,""fluency"":4,""terminology"":5,""style"":4}",4.5
ex_011,A,hallucination_prone,4,3,2,3,"{""adequacy"":4,""fluency"":3,""terminology"":2,""style"":3}",3.0
ex_011,B,hallucination_prone,5,5,4,5,"{""adequacy"":5,""fluency"":5,""terminology"":4,""style"":5}",4.75
ex_012,A,hallucination_prone,5,3,4,3,"{""adequacy"":5,""fluency"":3,""terminology"":4,""style"":3}",3.75
ex_012,B,hallucination_prone,5,5,5,5,"{""adequacy"":5,""fluency"":5,""terminology"":5,""style"":5}",5.0
ex_013,A,hallucination_prone,4,3,3,3,"{""adequacy"":4,""fluency"":3,""terminology"":3,""style"":3}",3.25
ex_013,B,hallucination_prone,4,3,4,3,"{""adequacy"":4,""fluency"":3,""terminology"":4,""style"":3}",3.5
ex_014,A,hallucination_prone,3,3,2,3,"{""adequacy"":3,""fluency"":3,""terminology"":2,""style"":3}",2.75
ex_014,B,hallucination_prone,5,4,5,4,"{""adequacy"":5,""fluency"":4,""terminology"":5,""style"":4}",4.5
ex_015,A,hallucination_prone,4,3,5,4,"{""adequacy"":4,""fluency"":3,""terminology"":5,""style"":4}",4.0
ex_015,B,hallucination_prone,5,5,5,5,"{""adequacy"":5,""fluency"":5,""terminology"":5,""style"":5}",5.0
ex_016,A,hallucination_prone,3,2,3,2,"{""adequacy"":3,""fluency"":2,""terminology"":3,""style"":2}",2.5
