example_id,system,human_fluency,human_adequacy,human_overall,gold_preference,llm_direct_score,rubric_overall,rubric_fluency,rubric_adequacy,rubric_terminology,challenge_category,source_en,output_system_a,output_system_b,reference_hi,translation,trans_length,src_length,bleu
ex_001,A,4.3333,4.0,4.1667,B,4,4.5,4,5,5,ambiguous,"The original population hasn't changed at all, they still need the same adaptations as before.","मूल आबादी बिलकुल भी नहीं बदली है, वे अब भी पहले के समान अनुकूलन की आवश्यकता रखते हैं।","मूल जनसंख्या बिल्कुल भी नहीं बदली है, उन्हें अभी भी पहले जैसी ही अनुकूलन की आवश्यकता है।","मूल आबादी में किसी तरह का बदलाव नहीं हुआ है, अभी भी वह पहले की तरह ही अनुकूलता चाहते हैं.","मूल आबादी बिलकुल भी नहीं बदली है, वे अब भी पहले के समान अनुकूलन की आवश्यकता रखते हैं।",18,15,5.8148154201506905
ex_001,B,5.0,5.0,5.0,B,4,4.25,4,5,4,ambiguous,"The original population hasn't changed at all, they still need the same adaptations as before.","मूल आबादी बिलकुल भी नहीं बदली है, वे अब भी पहले के समान अनुकूलन की आवश्यकता रखते हैं।","मूल जनसंख्या बिल्कुल भी नहीं बदली है, उन्हें अभी भी पहले जैसी ही अनुकूलन की आवश्यकता है।","मूल आबादी में किसी तरह का बदलाव नहीं हुआ है, अभी भी वह पहले की तरह ही अनुकूलता चाहते हैं.","मूल जनसंख्या बिल्कुल भी नहीं बदली है, उन्हें अभी भी पहले जैसी ही अनुकूलन की आवश्यकता है।",17,15,5.957342613898561
ex_002,A,3.3333,4.0,3.6667,A,3,3.25,3,4,3,ambiguous,"Her first was the Slalom, where she earned a Did Not Finish in her first run. 36 of the 116 competitors had the same result in that race.","उसकी पहली दौड़ स्लैलम थी, जहां उसने अपनी पहली दौड़ में डिड नॉट फिनिश कर लिया। 116 प्रतियोगियों में से 36 प्रतियोगियों का उस दौड़ में यही परिणाम रहा।","उसका पहला कार्यक्रम स्लालम था, जहाँ उसने अपनी पहली दौड़ में समाप्त नहीं हुआ। 116 प्रतियोगियों में से 36 ने उसी दौड़ में वही परिणाम प्राप्त किया।","उसका पहला स्लैलम था, जहाँ उसने अपने पहले चक्र मे दौड़ को पूरा ना कर सका ।इस दौड़ में 116 प्रतियोगियों में से 36 खिलाड़ियों ने एक ही स्थान प्राप्त किया ।","उसकी पहली दौड़ स्लैलम थी, जहां उसने अपनी पहली दौड़ में डिड नॉट फिनिश कर लिया। 116 प्रतियोगियों में से 36 प्रतियोगियों का उस दौड़ में यही परिणाम रहा।",29,28,12.505846686402121
ex_002,B,2.3333,3.0,2.6667,A,2,3.5,3,4,4,ambiguous,"Her first was the Slalom, where she earned a Did Not Finish in her first run. 36 of the 116 competitors had the same result in that race.","उसकी पहली दौड़ स्लैलम थी, जहां उसने अपनी पहली दौड़ में डिड नॉट फिनिश कर लिया। 116 प्रतियोगियों में से 36 प्रतियोगियों का उस दौड़ में यही परिणाम रहा।","उसका पहला कार्यक्रम स्लालम था, जहाँ उसने अपनी पहली दौड़ में समाप्त नहीं हुआ। 116 प्रतियोगियों में से 36 ने उसी दौड़ में वही परिणाम प्राप्त किया।","उसका पहला स्लैलम था, जहाँ उसने अपने पहले चक्र मे दौड़ को पूरा ना कर सका ।इस दौड़ में 116 प्रतियोगियों में से 36 खिलाड़ियों ने एक ही स्थान प्राप्त किया ।","उसका पहला कार्यक्रम स्लालम था, जहाँ उसने अपनी पहली दौड़ में समाप्त नहीं हुआ। 116 प्रतियोगियों में से 36 ने उसी दौड़ में वही परिणाम प्राप्त किया।",27,28,20.226276800138898
ex_003,A,3.0,4.0,3.5,B,4,4.5,4,5,5,ambiguous,"A person working in a garage near where the accident occurred said: ""There were children waiting to cross the road and they were all screaming and crying.""","एक ऐसे गैराज में काम करने वाले व्यक्ति ने कहा जहां दुर्घटना हुई थी, ""वहां रास्ता पार करने के लिए बच्चे इंतजार कर रहे थे और वे सभी चिल्ला रहे और रो रहे थे।""","एक व्यक्ति, जो दुर्घटना के पास के एक गेराज में काम कर रहा था, ने कहा: “सड़क पार करने के लिए बच्चे इंतजार कर रहे थे और वे सब चिल्ला रहे थे और रो रहे थे।”","दुर्घटना की जगह के पास गैरेज में काम कर रहे व्यक्ति ने बताया: “वहाँ सड़क पार करने का इंतज़ार कर रहे बच्चे थे, वे सब चिल्ला रहे थे और रो रहे थे.”","एक ऐसे गैराज में काम करने वाले व्यक्ति ने कहा जहां दुर्घटना हुई थी, ""वहां रास्ता पार करने के लिए बच्चे इंतजार कर रहे थे और वे सभी चिल्ला रहे और रो रहे थे।""",34,27,10.191455934807397
ex_003,B,4.6667,4.6667,4.6667,B,4,4.5,4,5,5,ambiguous,"A person working in a garage near where the accident occurred said: ""There were children waiting to cross the road and they were all screaming and crying.""","एक ऐसे गैराज में काम करने वाले व्यक्ति ने कहा जहां दुर्घटना हुई थी, ""वहां रास्ता पार करने के लिए बच्चे इंतजार कर रहे थे और वे सभी चिल्ला रहे और रो रहे थे।""","एक व्यक्ति, जो दुर्घटना के पास के एक गेराज में काम कर रहा था, ने कहा: “सड़क पार करने के लिए बच्चे इंतजार कर रहे थे और वे सब चिल्ला रहे थे और रो रहे थे।”","दुर्घटना की जगह के पास गैरेज में काम कर रहे व्यक्ति ने बताया: “वहाँ सड़क पार करने का इंतज़ार कर रहे बच्चे थे, वे सब चिल्ला रहे थे और रो रहे थे.”","एक व्यक्ति, जो दुर्घटना के पास के एक गेराज में काम कर रहा था, ने कहा: “सड़क पार करने के लिए बच्चे इंतजार कर रहे थे और वे सब चिल्ला रहे थे और रो रहे थे।”",36,27,27.272035432845083
ex_004,A,3.6667,4.0,3.8333,B,3,3.0,3,4,2,ambiguous,"Despite leaving the show in 1993 he kept the title of executive producer, and continued to receive tens of millions of dollars every season in royalties.","1993 में शो छोड़ने के बाद भी उन्होंने नियोजन निर्माता के शीर्षक को बरकरार रखा, और प्रत्येक सीज़न में लाखों डॉलर के रूप में अधिकार शुल्क प्राप्त करते रहे।","1993 में शो छोड़ने के बावजूद, उसने कार्यकारी निर्माता का पद बनाए रखा और हर सीजन में रॉयल्टी के रूप में दर्जनों मिलियन डॉलर प्राप्त करना जारी रखा।",1993 में शो छोड़ने के बाद भी वे एग्जीक्यूटिव प्रोड्यूसर के पद पर बने रहे और हर सीज़न में लाखों-करोड़ों डॉलर की रॉयल्टी लेते रहे.,"1993 में शो छोड़ने के बाद भी उन्होंने नियोजन निर्माता के शीर्षक को बरकरार रखा, और प्रत्येक सीज़न में लाखों डॉलर के रूप में अधिकार शुल्क प्राप्त करते रहे।",29,26,8.830895300928166
ex_004,B,4.0,4.0,4.0,B,4,4.25,4,5,4,ambiguous,"Despite leaving the show in 1993 he kept the title of executive producer, and continued to receive tens of millions of dollars every season in royalties.","1993 में शो छोड़ने के बाद भी उन्होंने नियोजन निर्माता के शीर्षक को बरकरार रखा, और प्रत्येक सीज़न में लाखों डॉलर के रूप में अधिकार शुल्क प्राप्त करते रहे।","1993 में शो छोड़ने के बावजूद, उसने कार्यकारी निर्माता का पद बनाए रखा और हर सीजन में रॉयल्टी के रूप में दर्जनों मिलियन डॉलर प्राप्त करना जारी रखा।",1993 में शो छोड़ने के बाद भी वे एग्जीक्यूटिव प्रोड्यूसर के पद पर बने रहे और हर सीज़न में लाखों-करोड़ों डॉलर की रॉयल्टी लेते रहे.,"1993 में शो छोड़ने के बावजूद, उसने कार्यकारी निर्माता का पद बनाए रखा और हर सीजन में रॉयल्टी के रूप में दर्जनों मिलियन डॉलर प्राप्त करना जारी रखा।",28,26,7.334959170370916
ex_005,A,3.3333,4.3333,3.8333,Tie,4,4.75,5,5,5,ambiguous,"On some routes, the larger companies have their own planes, but for other routes and smaller firms there was a problem.","कुछ मार्गों पर, बड़ी कंपनियों के पास अपने विमान हैं, लेकिन अन्य मार्गों और छोटी कंपनियों के लिए एक समस्या थी।","कुछ मार्गों पर, बड़ी कंपनियों के अपने विमान हैं, परंतु अन्य मार्गों और छोटी कंपनियों के लिए एक समस्या थी।","चुनिंदा रूट पर, बड़ी कंपनियों के खुद के विमान हैं, लेकिन अन्य रूट पर और छोटी फ़र्म के लिए यह एक समस्या है.","कुछ मार्गों पर, बड़ी कंपनियों के पास अपने विमान हैं, लेकिन अन्य मार्गों और छोटी कंपनियों के लिए एक समस्या थी।",21,21,32.95595637061386
ex_005,B,3.6667,4.0,3.8333,Tie,4,5.0,5,5,5,ambiguous,"On some routes, the larger companies have their own planes, but for other routes and smaller firms there was a problem.","कुछ मार्गों पर, बड़ी कंपनियों के पास अपने विमान हैं, लेकिन अन्य मार्गों और छोटी कंपनियों के लिए एक समस्या थी।","कुछ मार्गों पर, बड़ी कंपनियों के अपने विमान हैं, परंतु अन्य मार्गों और छोटी कंपनियों के लिए एक समस्या थी।","चुनिंदा रूट पर, बड़ी कंपनियों के खुद के विमान हैं, लेकिन अन्य रूट पर और छोटी फ़र्म के लिए यह एक समस्या है.","कुछ मार्गों पर, बड़ी कंपनियों के अपने विमान हैं, परंतु अन्य मार्गों और छोटी कंपनियों के लिए एक समस्या थी।",20,21,23.35000149752957
ex_006,A,3.6667,4.0,3.8333,A,4,4.5,4,5,5,ambiguous,It also attacked anything that entered the water; even a giant dinosaur such as T. rex would be no match for it.,यह जल में प्रवेश करने वाली हर चीज पर हमला करता था; एक भारी डायनासोर जैसा कि टी.रेक्स भी इसका मुकाबला नहीं कर सकता था।,यह पानी में प्रवेश करने वाली किसी भी चीज़ पर हमला करता था; ट. रेक्स जैसे विशाल डायनासोर भी इसके समक्ष अक्षम होते।,"ये पानी में जाने वाली किसी भी चीज़ पर भी हमला किया करते थे, यहाँ तक कि टी. रेक्स जैसे विशालकाय डायनासोर का भी कोई मुकाबला नहीं होगा.",यह जल में प्रवेश करने वाली हर चीज पर हमला करता था; एक भारी डायनासोर जैसा कि टी.रेक्स भी इसका मुकाबला नहीं कर सकता था।,25,22,10.621294934453813
ex_006,B,3.0,3.3333,3.1667,A,4,4.5,4,5,5,ambiguous,It also attacked anything that entered the water; even a giant dinosaur such as T. rex would be no match for it.,यह जल में प्रवेश करने वाली हर चीज पर हमला करता था; एक भारी डायनासोर जैसा कि टी.रेक्स भी इसका मुकाबला नहीं कर सकता था।,यह पानी में प्रवेश करने वाली किसी भी चीज़ पर हमला करता था; ट. रेक्स जैसे विशाल डायनासोर भी इसके समक्ष अक्षम होते।,"ये पानी में जाने वाली किसी भी चीज़ पर भी हमला किया करते थे, यहाँ तक कि टी. रेक्स जैसे विशालकाय डायनासोर का भी कोई मुकाबला नहीं होगा.",यह पानी में प्रवेश करने वाली किसी भी चीज़ पर हमला करता था; ट. रेक्स जैसे विशाल डायनासोर भी इसके समक्ष अक्षम होते।,23,22,17.407112149150166
ex_007,A,3.3333,3.6667,3.5,A,2,3.25,3,4,3,ambiguous,Others are alleged to have been brought up by animals; some are said to have lived in the wild on their own.,अन्य के जानवरों द्वारा पाले जाने के आरोप हैं; कुछ को अकेले जंगल में रहने का कहा जाता है।,अन्य लोगों के बारे में कहा जाता है कि उन्हें जानवरों द्वारा पाला गया था; कुछ का दावा है कि वे अपने आप जंगली में रहते थे।,दूसरों को कथित तौर पर जानवरों से ढोकर लाया गया था; कुछ के बारे में कहा जाता है कि वे खुद ही जंगल में रह रहे थे.,अन्य के जानवरों द्वारा पाले जाने के आरोप हैं; कुछ को अकेले जंगल में रहने का कहा जाता है।,19,22,4.680148912815492
ex_007,B,3.0,3.6667,3.3333,A,2,3.75,4,4,3,ambiguous,Others are alleged to have been brought up by animals; some are said to have lived in the wild on their own.,अन्य के जानवरों द्वारा पाले जाने के आरोप हैं; कुछ को अकेले जंगल में रहने का कहा जाता है।,अन्य लोगों के बारे में कहा जाता है कि उन्हें जानवरों द्वारा पाला गया था; कुछ का दावा है कि वे अपने आप जंगली में रहते थे।,दूसरों को कथित तौर पर जानवरों से ढोकर लाया गया था; कुछ के बारे में कहा जाता है कि वे खुद ही जंगल में रह रहे थे.,अन्य लोगों के बारे में कहा जाता है कि उन्हें जानवरों द्वारा पाला गया था; कुछ का दावा है कि वे अपने आप जंगली में रहते थे।,27,22,31.526641008374458
