example_id,system,human_fluency,human_adequacy,human_overall,gold_preference
ex_001,A,4.3333,4.0,4.1667,B
ex_001,B,5.0,5.0,5.0,B
ex_002,A,3.3333,4.0,3.6667,A
ex_002,B,2.3333,3.0,2.6667,A
ex_003,A,3.0,4.0,3.5,B
ex_003,B,4.6667,4.6667,4.6667,B
ex_004,A,3.6667,4.0,3.8333,B
ex_004,B,4.0,4.0,4.0,B
ex_005,A,3.3333,4.3333,3.8333,Tie
ex_005,B,3.6667,4.0,3.8333,Tie
ex_006,A,3.6667,4.0,3.8333,A
ex_006,B,3.0,3.3333,3.1667,A
ex_007,A,3.3333,3.6667,3.5,A
ex_007,B,3.0,3.6667,3.3333,A
ex_008,A,2.6667,3.6667,3.1667,A
ex_008,B,3.3333,3.0,3.1667,A
ex_009,A,2.6667,3.3333,3.0,B
ex_009,B,4.0,4.3333,4.1667,B
ex_010,A,4.3333,4.3333,4.3333,Tie
ex_010,B,4.3333,4.3333,4.3333,Tie
ex_011,A,4.0,4.0,4.0,Tie
ex_011,B,4.0,4.0,4.0,Tie
ex_012,A,4.0,3.3333,3.6667,B
ex_012,B,4.0,4.0,4.0,B
ex_013,A,4.0,4.6667,4.3333,A
ex_013,B,3.0,3.0,3.0,A
ex_014,A,3.3333,3.6667,3.5,A
ex_014,B,3.3333,4.0,3.6667,A
ex_015,A,3.3333,3.6667,3.5,B
ex_015,B,4.3333,4.0,4.1667,B
ex_016,A,3.6667,4.0,3.8333,B
ex_016,B,4.0,4.3333,4.1667,B
ex_017,A,4.6667,4.6667,4.6667,A
ex_017,B,4.6667,4.6667,4.6667,A
ex_018,A,4.3333,4.6667,4.5,A
ex_018,B,4.6667,4.0,4.3333,A
ex_019,A,4.0,4.6667,4.3333,B
ex_019,B,4.0,4.3333,4.1667,B
ex_020,A,3.6667,4.0,3.8333,Tie
ex_020,B,4.3333,4.3333,4.3333,Tie
ex_021,A,3.3333,2.6667,3.0,B
ex_021,B,3.3333,4.0,3.6667,B
ex_022,A,3.3333,3.6667,3.5,B
ex_022,B,4.0,4.0,4.0,B
ex_023,A,4.3333,4.3333,4.3333,A
ex_023,B,3.3333,3.3333,3.3333,A
ex_024,A,3.3333,3.3333,3.3333,B
ex_024,B,3.6667,3.6667,3.6667,B
ex_025,A,4.0,4.3333,4.1667,A
ex_025,B,3.6667,3.6667,3.6667,A
ex_026,A,3.0,3.0,3.0,B
ex_026,B,4.6667,4.6667,4.6667,B
ex_027,A,3.3333,3.3333,3.3333,B
ex_027,B,4.0,4.6667,4.3333,B
ex_028,A,4.3333,4.0,4.1667,A
ex_028,B,4.3333,4.3333,4.3333,A
ex_029,A,4.0,4.6667,4.3333,Tie
ex_029,B,4.3333,4.6667,4.5,Tie
ex_030,A,2.6667,3.0,2.8333,B
ex_030,B,3.0,3.6667,3.3333,B
ex_031,A,4.3333,4.6667,4.5,A
ex_031,B,3.6667,4.0,3.8333,A
ex_032,A,4.0,2.6667,3.3333,B
ex_032,B,4.0,4.3333,4.1667,B
ex_033,A,3.6667,3.6667,3.6667,B
ex_033,B,4.3333,4.0,4.1667,B
ex_034,A,4.3333,4.0,4.1667,B
ex_034,B,4.3333,4.3333,4.3333,B
ex_035,A,3.3333,4.0,3.6667,B
ex_035,B,4.3333,4.3333,4.3333,B
ex_036,A,4.0,4.3333,4.1667,Tie
ex_036,B,4.3333,4.3333,4.3333,Tie
ex_037,A,3.3333,4.0,3.6667,B
ex_037,B,4.0,4.0,4.0,B
ex_038,A,3.3333,3.6667,3.5,B
ex_038,B,3.6667,3.0,3.3333,B
ex_039,A,3.0,3.6667,3.3333,B
ex_039,B,4.0,3.3333,3.6667,B
ex_040,A,3.6667,4.0,3.8333,B
ex_040,B,4.3333,4.0,4.1667,B
ex_041,A,4.0,4.0,4.0,A
ex_041,B,3.6667,4.3333,4.0,A
ex_042,A,4.3333,4.3333,4.3333,Tie
ex_042,B,4.0,4.3333,4.1667,Tie
ex_043,A,4.0,4.0,4.0,A
ex_043,B,3.3333,3.3333,3.3333,A
ex_044,A,4.0,4.3333,4.1667,B
ex_044,B,4.6667,4.3333,4.5,B
ex_045,A,3.6667,4.0,3.8333,B
ex_045,B,4.3333,4.6667,4.5,B
ex_046,A,3.6667,4.0,3.8333,A
ex_046,B,3.3333,3.6667,3.5,A
ex_047,A,3.6667,3.6667,3.6667,A
ex_047,B,3.3333,3.6667,3.5,A
ex_048,A,4.0,4.0,4.0,B
ex_048,B,4.0,4.0,4.0,B
ex_049,A,3.0,3.6667,3.3333,B
ex_049,B,4.0,4.3333,4.1667,B
ex_050,A,4.0,4.3333,4.1667,A
ex_050,B,3.6667,4.0,3.8333,A
