example_id,challenge_category,pw_order1,pw_order2,consistent,raw1,raw2
ex_001,ambiguous,B,B,True,B,A
ex_002,ambiguous,A,A,True,A,B
ex_003,ambiguous,B,B,True,B,A
ex_004,ambiguous,B,B,True,B,A
ex_005,ambiguous,Tie,A,False,Tie,B
ex_006,ambiguous,A,A,True,A,B
ex_007,ambiguous,B,B,True,B,A
ex_008,ambiguous,B,B,True,B,A
ex_009,ambiguous,B,B,True,B,A
ex_010,ambiguous,A,A,True,A,B
ex_011,hallucination_prone,B,B,True,B,A
ex_012,hallucination_prone,B,B,True,B,A
ex_013,hallucination_prone,A,A,True,A,B
ex_014,hallucination_prone,B,B,True,B,A
ex_015,hallucination_prone,B,B,True,B,A
ex_016,hallucination_prone,B,B,True,B,A
ex_017,hallucination_prone,B,B,True,B,A
ex_018,hallucination_prone,B,B,True,B,A
ex_019,hallucination_prone,A,A,True,A,B
ex_020,hallucination_prone,A,B,False,A,A
ex_021,noisy_input,A,A,True,A,B
ex_022,noisy_input,B,B,True,B,A
ex_023,noisy_input,B,B,True,B,A
ex_024,noisy_input,B,B,True,B,A
ex_025,noisy_input,B,B,True,B,A
ex_026,noisy_input,B,B,True,B,A
ex_027,noisy_input,B,B,True,B,A
ex_028,noisy_input,B,B,True,B,A
ex_029,noisy_input,B,B,True,B,A
ex_030,noisy_input,B,B,True,B,A
ex_031,negation_quantifier,A,B,False,A,A
ex_032,negation_quantifier,B,B,True,B,A
ex_033,negation_quantifier,B,B,True,B,A
ex_034,negation_quantifier,A,A,True,A,B
ex_035,negation_quantifier,B,B,True,B,A
ex_036,negation_quantifier,A,A,True,A,B
ex_037,negation_quantifier,B,B,True,B,A
ex_038,negation_quantifier,B,B,True,B,A
ex_039,negation_quantifier,A,B,False,A,A
ex_040,negation_quantifier,B,B,True,B,A
ex_041,long_complex,A,B,False,A,A
ex_042,long_complex,B,B,True,B,A
ex_043,long_complex,A,B,False,A,A
ex_044,long_complex,B,B,True,B,A
ex_045,long_complex,B,B,True,B,A
ex_046,long_complex,A,B,False,A,A
ex_047,long_complex,B,B,True,B,A
ex_048,long_complex,B,B,True,B,A
ex_049,long_complex,B,B,True,B,A
ex_050,long_complex,B,B,True,B,A
