example_id,system,challenge_category,llm_direct_score,raw
ex_001,A,ambiguous,4,4
ex_001,B,ambiguous,4,4
ex_002,A,ambiguous,3,3
ex_002,B,ambiguous,2,2
ex_003,A,ambiguous,4,4
ex_003,B,ambiguous,4,4
ex_004,A,ambiguous,3,3
ex_004,B,ambiguous,4,4
ex_005,A,ambiguous,4,4
ex_005,B,ambiguous,4,4
ex_006,A,ambiguous,4,4
ex_006,B,ambiguous,4,4
ex_007,A,ambiguous,2,2
ex_007,B,ambiguous,2,2
ex_008,A,ambiguous,4,4
ex_008,B,ambiguous,5,5
ex_009,A,ambiguous,2,2
ex_009,B,ambiguous,4,4
ex_010,A,ambiguous,4,4
ex_010,B,ambiguous,4,4
ex_011,A,hallucination_prone,2,2
ex_011,B,hallucination_prone,4,4
ex_012,A,hallucination_prone,3,3
ex_012,B,hallucination_prone,5,5
ex_013,A,hallucination_prone,2,2
ex_013,B,hallucination_prone,3,3
ex_014,A,hallucination_prone,2,2
ex_014,B,hallucination_prone,4,4
ex_015,A,hallucination_prone,3,3
ex_015,B,hallucination_prone,5,5
ex_016,A,hallucination_prone,2,2
ex_016,B,hallucination_prone,4,4
ex_017,A,hallucination_prone,5,5
ex_017,B,hallucination_prone,5,5
ex_018,A,hallucination_prone,4,4
ex_018,B,hallucination_prone,5,5
ex_019,A,hallucination_prone,5,5
ex_019,B,hallucination_prone,4,4
ex_020,A,hallucination_prone,4,4
ex_020,B,hallucination_prone,5,5
ex_021,A,noisy_input,4,4
ex_021,B,noisy_input,4,4
ex_022,A,noisy_input,4,4
ex_022,B,noisy_input,4,4
ex_023,A,noisy_input,2,2
ex_023,B,noisy_input,5,5
ex_024,A,noisy_input,2,2
ex_024,B,noisy_input,4,4
ex_025,A,noisy_input,5,5
ex_025,B,noisy_input,4,4
ex_026,A,noisy_input,1,1
ex_026,B,noisy_input,3,3
ex_027,A,noisy_input,2,2
ex_027,B,noisy_input,4,4
ex_028,A,noisy_input,4,4
ex_028,B,noisy_input,5,5
ex_029,A,noisy_input,4,4
ex_029,B,noisy_input,4,4
ex_030,A,noisy_input,1,1
ex_030,B,noisy_input,2,2
ex_031,A,negation_quantifier,4,4
ex_031,B,negation_quantifier,4,4
ex_032,A,negation_quantifier,1,1
ex_032,B,negation_quantifier,4,4
ex_033,A,negation_quantifier,1,1
ex_033,B,negation_quantifier,4,4
ex_034,A,negation_quantifier,5,5
ex_034,B,negation_quantifier,4,4
ex_035,A,negation_quantifier,4,4
ex_035,B,negation_quantifier,5,5
ex_036,A,negation_quantifier,4,4
ex_036,B,negation_quantifier,4,4
ex_037,A,negation_quantifier,4,4
ex_037,B,negation_quantifier,4,4
ex_038,A,negation_quantifier,2,2
ex_038,B,negation_quantifier,3,3
ex_039,A,negation_quantifier,5,5
ex_039,B,negation_quantifier,4,4
ex_040,A,negation_quantifier,3,3
ex_040,B,negation_quantifier,4,4
ex_041,A,long_complex,4,4
ex_041,B,long_complex,4,4
ex_042,A,long_complex,4,4
ex_042,B,long_complex,5,5
ex_043,A,long_complex,4,4
ex_043,B,long_complex,4,4
ex_044,A,long_complex,4,4
ex_044,B,long_complex,4,4
ex_045,A,long_complex,4,4
ex_045,B,long_complex,4,4
ex_046,A,long_complex,4,4
ex_046,B,long_complex,4,4
ex_047,A,long_complex,2,2
ex_047,B,long_complex,4,4
ex_048,A,long_complex,3,3
ex_048,B,long_complex,4,4
ex_049,A,long_complex,3,3
ex_049,B,long_complex,5,5
ex_050,A,long_complex,4,4
ex_050,B,long_complex,5,5
